Matrix,Schedule,Threads,ChunkSize,p90_Time_ms,p90_GFLOPs,Speedup,Efficiency
atmosmodd.mtx,dynamic,4,4,75.09421,0.288831,0.3050006118980411,7.625015297451028
atmosmodd.mtx,dynamic,4,16,28.12461,0.6797201,0.8143679147906406,20.359197869766017
atmosmodd.mtx,dynamic,4,64,15.85347,1.2720909999999999,1.4447171502516485,36.117928756291214
atmosmodd.mtx,dynamic,4,256,12.02963,1.85394,1.9039471704449764,47.59867926112441
atmosmodd.mtx,dynamic,4,1024,11.30587,2.0746260000000003,2.02583082947177,50.64577073679425
atmosmodd.mtx,guided,4,1,11.569569999999999,2.57115,1.9796569794728762,49.491424486821906
atmosmodd.mtx,guided,4,4,10.59141,2.38751,2.162486392274494,54.062159806862354
atmosmodd.mtx,guided,4,16,9.63175,2.7315579999999997,2.377945856152828,59.4486464038207
atmosmodd.mtx,guided,4,64,10.671059999999999,2.720561,2.146345349009377,53.65863372523443
atmosmodd.mtx,guided,4,256,10.99136,2.432095,2.0837985472225458,52.094963680563644
atmosmodd.mtx,guided,4,1024,10.87598,2.531314,2.1059049391411166,52.64762347852792
atmosmodd.mtx,static,8,1,26.35677,0.791304,0.8689903960159003,10.862379950198754
atmosmodd.mtx,static,8,4,20.50605,1.006704,1.1169279310252342,13.961599137815428
atmosmodd.mtx,static,8,16,15.44721,1.3302,1.482713059510423,18.53391324388029
atmosmodd.mtx,static,8,64,11.31576,1.886304,2.0240602487150667,25.300753108938334
atmosmodd.mtx,static,8,256,9.632925,2.64087,2.3776558002891126,29.72069750361391
atmosmodd.mtx,static,8,1024,8.2835,3.104987,2.7649882296130865,34.56235287016358
atmosmodd.mtx,dynamic,8,1,169.33100000000002,0.10798970000000001,0.13526040713159432,1.690755089144929
atmosmodd.mtx,dynamic,8,4,51.99221,0.4075284,0.4405233014715089,5.506541268393861
atmosmodd.mtx,dynamic,8,16,18.83596,1.034964,1.2159603227018958,15.199504033773698
atmosmodd.mtx,dynamic,8,64,13.00051,1.710043,1.7617601155646971,22.022001444558715
atmosmodd.mtx,dynamic,8,256,10.6374,2.229845,2.1531370447665785,26.91421305958223
atmosmodd.mtx,dynamic,8,1024,9.801947,2.450115,2.336656176573899,29.208202207173738
atmosmodd.mtx,guided,8,1,9.595032,2.6602740000000002,2.3870457128230527,29.83807141028816
atmosmodd.mtx,guided,8,4,9.320277,2.812546,2.4574140875855943,30.71767609481993
atmosmodd.mtx,guided,8,16,9.382038,2.69974,2.441237181090079,30.51546476362599
atmosmodd.mtx,guided,8,64,8.84155,2.681202,2.59047112779999,32.380889097499875
atmosmodd.mtx,guided,8,256,8.282318,2.764286,2.7653828312315465,34.56728539039433
atmosmodd.mtx,guided,8,1024,9.346300000000001,2.7272659999999997,2.450571884061072,30.6321485507634
atmosmodd.mtx,static,16,1,21.41647,0.8948965999999999,1.0694470190465564,6.684043869040977
atmosmodd.mtx,static,16,4,17.758319999999998,1.095126,1.2897492555602108,8.060932847251317
atmosmodd.mtx,static,16,16,14.25981,1.500858,1.6061770809007976,10.038606755629985
atmosmodd.mtx,static,16,64,10.132143,2.070708,2.2605069825800923,14.128168641125576
